#Key;en;fr
RESET GAME;Reset game;Réinitialiser le jeu
RESET GAME PROGRESS?;Reset game progress?;Réinitialiser le jeu ?
RESTART GAME;Restart game;Redémarrer le jeu
revenue :;Revenue :;Revenus :
REWARD;Reward;Récompense
REWARD :;Reward :;Récompense :
REWORK;Rework;Retravailler
REWRITE HELP;At any time you can get back to the previous tasks and rewrite the programs\n\nFor example, you may want to optimize them to better fit your current task\n\nRight click twice on a custom node to jump directly to the scheme;
REWRITING PREVIOUS TASKS;Rewriting previous tasks;Réécrire les tâches précédentes
RL;Reinforcement learning;
RLDESCR;More effective than the genetic algorithm;
RLSHOP;Reinforcement learning;
RNN CELL;RNN layer;Couche RNN
ROUTERSHOP;TP-GINK router;Router TP-GINK
SAVE;Save;Sauvegarder
SAVE AND EXIT;Save and exit;Sauvegarder et quitter
SAVING;Saving;Sauvegarde
SCHEME AUTOSAVED AS;Scheme autosaved as;
SCIENTISTS;Scientists;Scientifiques
score;Score;Résultat
SEC;Sec;
servers;Servers;Serveurs
SERVERS COST;Servers cost;Coût des serveurs
SERVERS USED;Servers used;Serveurs utilisés
SERVERSCOSTBONUS;Decreases server cost by;Réduit le coût du serveur de 
SERVERSCOSTPERCENT;Servers cost :;Coût des serveurs:
SERVERSHOP;SERVERUS 2000;SERVERUS 2000
SGRADIENT;Stochastic gradient descent;
SGRADIENTDESCR;Works faster than gradient descent, but may increase error rate;
SGRADIENTSHOP;Stoch. Gradient descent;
SIFT HELP GAME;This block compares shapes\n\nIf the shape of an element matches the designated shape, the element goes to the top socket\n\nThe rest go to the bottom socket;
SIFT HELP HISTORY;SIFT (scale-invariant feature transform) is one of the most powerful non-neural image recognition algorithm\n\nSIFT is very fast and is capable of recognizing simple objects and patterns;
SIFT HELP TITLE;SIFT;
SKYRIM;Viking helmet;Casque viking
SKYRIMDESCR;Me-ow-meooooow;Mi-aou-miaoooou
SLSEC;/ sec;
SOCKETDEPTHBONUS;Increases sockets processing queue by;
SOCKETDEPTHINTERFACE;Socket queue size :;
SOON;Soon;Prochainement
STARTUPAUTOSAVE;Startup prototype autosaved;
STARTUPS;Startups;Start-ups
STOCHASTIC GRADIENT DESCENT HELP GAME;Each element in the game has a small error-fix value\n\nThis node doubles the value\n\nUse it wisely\n\n<color=#ffbd18>This node isn't working in release run</color>;
STOCHASTIC GRADIENT DESCENT HELP HISTORY;This algorithm is an upgrade of basic gradient descent\n\nsgt calculates gradient of random objects from the data\n\nIt works fast but may increase the amount of errors. SGD is typically used with a regular gradient descent;
STOCHASTIC GRADIENT DESCENT HELP TITLE;Stochastic gradient descent;
STOH. GRAD. DESCENT;Stoch. Grad. Descent;
STOP;Stop;Stop
SUCCESS;Success;Succès
SUMMARY :;Summary :;Sommaire :
SURE bankrupt;This action will delete the startup;Cette action va supprimer la start-up
SURE bankrupt2;Are you sure you want to do this?;Es-tu sûre de vouloir faire ca ?
T800;Cyborg;Cyborg
T800DESCR;He needs your clothes your boots and catocycle;
TAKE CASH;Take cash;Prendre l'argent
TASK;Task;Tâche
#TASK #;Task #;Tâche #
TEST RUN;Test run;
TEST RUN :;Test run :;
THE APPROXIMATE ERROR CALCULATION;Approximate error calculation;
TIME;Time;Temps
TIME IS OVER;You ran out of time;Ton temps a expiré
TIME SPEND;Time spent;Temps écoulé
TRASHCAN HELP GAME;This node destroys elements;Ce noeud détruit des éléments
TRASHCAN HELP HISTORY;Real data sets have a lot of errors\n\nFiltering out errors is a very important skill for all data scientists;
TRASHCAN HELP TITLE;Trashcan;Poubelle
UNLIMITED TIME;Unlimited time;Temps illimité
UPGRADE BLOCKS;Upgrade nodes;
users;Users;Utilisateurs
VURUSCLAST;Alarm!\nA strange virus is killing people in Procyon city! We can't understand what type of virus is doing that!\nPlease help!\nThis message was sent to all programmers in the world.;
VURUSCLASTT;Classification of viruses by type;
WARNING;Warning;Avertissement
WEEK;Week;Semaine
Whilecoin bank;Catcash bank;Banque Chatcash
WITCHER;Sneakers hunter;
WITCHERDESCR;He hates portals;Il déteste les portails
WORK;Job;Job
WTLCAT;WTL VR;WTL RV
WTLCATDESCR;Increases respect from the developers;Augmente le respect des développeurs
YES;Yes;Oui
You must add at least one block to the scheme;You must add at least one node to the scheme;
Too much blocks in scheme;Too many nodes in the scheme for this task;
TRASHCAN;Trashcan;Poubelle
TRAIN;Train;Entrainer
SURECANCELOFFER;This action will delete the startup offer;Cette action va detruire l'offre de start-up
STUDENTS;Students;Étudiants
GEEKS;Geeks;Geeks
ARMY;Army;Armée
SCHEME SAVED AS;Scheme saved as;
STARTUPSAVE;Startup saved;Start-up sauvegardée
TRAFFICFINDER;Hi!\nWe are trying to launch our self-driving taxi service. It is a very promising startup, but we have a problem. Our algorithm makes a lot of errors when it tries to recognize traffic lights signals. In result, the car sometimes moves instead of stopping.\nWe hope you can solve this problem. The code must be working very fast!;
TRAFFICFINDERT;Self-driving car;
EXTRABIGACCT;Counter-terrorist system;Système de contre-terrorisme
EXTRABIGACC;Hello! We are envolved in military technology development and our latest project is growing into a small business. We are creating a terrorism prevention system for places with large concentrations of people. Terrorists carry weapons in disassembled form. We have already digitized a large number of weapons and their parts, but we need an algorithm for their recognition. Can you help us? We will take you to our team and pay you a percent of the profit for your services.;
ENDGAMELOSE;You’re bankrupt. Now you need to start from checkpoint. Keep a better eye on the funds next time!;
TRAFFICFINDERSHORTT;Self-driving car;
EXTRABIGACCSHORTT;Antiterr. System;Système antiterr.
EVOLVERSHORTT;Evolver;
COMPANY;Company;Entreprise
RANDOMFOREST HELP TITLE;Random forest;
RANDOMFORESTSHOP;Random forest;
RANDOMFORESTDESCR;A more complex structure than a decision tree, but it can recognize more classes;
RANDOMFOREST HELP GAME;The node compares the color and the shape with each of the sockets and selects the one that has the least amount of errors.\n\nIf there are several matching sockets, a random one is selected.;
RANDOMFOREST HELP HISTORY;"A random forest is a composition (ensemble) of several decision trees. In real-life tasks, the number of trees can reach up to several thousands. \n\nEach tree can distinguish several classes, but they were trained on different parameters and classify objects based on different characteristics. \n\nWhen a prediction is required, the forest ""demands"" the class from all trees and chooses the final by voting - as the most popular answer.";
AMAZON;Good day to you, my name is Jeff. I own a small online bookstore. I need your help in choosing a logistics company depending on the buyer's region and type of the book ordered. I would love to automatize the process with the help of a special program, but I am not experienced in this sort of things. I offer you a share of sales which will be made with the help of your system.\nPlease note that the entire data needs to be processed.;
AMAZONT;Gamazon;Gamazon
AMAZONSHORTT;Gamazon;Gamazon
SHAPE%;Good afternoon. We are offering you a contract on improving our country's border security system. Our cameras detect a lot of violators. We ask you to write a system that will determine the type of vehicle that criminals use and pass the violation protocol to the optimal checkpoint to react to the incident and arrest the trespassers. The most popular types of crossing the borders are: on foot, by car and via giant slingshot.;
SHAPE%T;Border crossing control system;Système de contrôle de franchissement de frontière
FIRST PERCEPTRON2;We are aware that you were able to create a text recognition system based on the Rosenblatt perceptron.\n\nWe need a similar system that would also be able to distinguish vowels from consonants.\n\nThis task is simpler, but more accuracy is required.;
FIRST PERCEPTRON2T;Text recognition;Reconnaissance de texte
R/B DIVIDE BLOCK;R/Else divide;R/Autre séparés
WITHOUT BLUE BLOCK;Without blue;Sans bleu
ONLY RED BLOCK;Only red;Rouge uniquement
ONLY RED FAST BLOCK;Only red fast;Rouge uniquement rapide
ONLY TRIANGLE BLOCK;Only triangle;Triangle uniquement
FIRST PERCEPTRON BLOCK;Perceptron sorter;
FIRST PERCEPTRON2 BLOCK;Perceptron sorter2;
ALL/G DIVIDE BLOCK;All/G divide;Tout/V séparés
R/R PARALLEL BLOCK;2-parallel;2 en parallèle
R/R/R/R PARALLEL BLOCK;4-parallel;4 en parallèle
ONLY R/R PARALLEL BLOCK;Only R/R parallel;
WB/WG DIVIDE BLOCK;WB/WG divide;
R/G/B SORT BLOCK;R/G/B sort;Tri R/V/B
R/G/B QUICK SORT BLOCK;R/G/B quick sort;Tri R/V/B rapide
R/G DIVIDE 50% BLOCK;R/G divide 50%;
R/G DIVIDE 75% BLOCK;R/G divide 75%;
SHAPE% BLOCK;Shape division;
ONLY BLUE 80% BLOCK;Only blue 80%;Bleu uniquement 80%
ONLY RED CIRCLE BLOCK;Only red circle;Cercle rouge uniquement
PRETRAINED GENETIC BLOCK;Pretrained genetic;
GENETIC DIVIDE BLOCK;Genetic divide;
GENETIC DIVIDE 2 BLOCK;Genetic divide 2;
C/T DIVIDE BLOCK;C/T divide;
ONLY SQUARE 60% BLOCK;Only square 60%;Carré uniquement 60%
RC 75% BLOCK;RC 75%;
ONLY SQUARE BLOCK;Only square;
C/S/T SORT BLOCK;C/S/T SORT;
RC/BT DIVIDE BLOCK;RC/BT divide;
C/S/T QUICK SORT BLOCK;C/S/T quick sort;
C/S/T MACHINE SORT BLOCK;C/S/T machine sort;
R/G/B MACHINE SORT BLOCK;R/G/B machine sort;
ACC R MACHINE BLOCK;ACC R machine;
MACHINE SORT BLOCK;Machine sort;
FAST GREEN MACHINE BLOCK;Fast green machine;
COPY TEXT BLOCK;Copy text;
FAST TEXT COPY BLOCK;Fast text copy;
NAME ALREADY USED;This name is already taken;Ce nom est déjà utilisé
CHOOSE LOAD GAME SLOT;Choose load game slot;
CHOOSE CHECKPOINT;Choose checkpoint;
ATTENTIONVERSION;Since we are still in the early access, we, unfortunately, can occasionally break (or improve!) something and your save from previous version might load incorrectly;
ATTENTIONREWRITE;You are trying to rewrite a saved game;
CHOOSE NEW GAME SLOT;Choose a save game slot;
SETTINGS;Settings;Paramètres
LOAD GAME;Load game;Charger le jeu
EXIT GAME;Exit;Quitter
ONLY R PARALLEL;Greetings, this is the only state internet provider of a small country. We have a rather suboptimal code to track our people activities.\nUnfortunately, we can not allow you to change the actual code, but we have several new servers purchased on a garage sale!\nParallel the calculations, this will help our tyranny to prosper!;
ONLY R PARALLELT;Dictatorship;Dictature
ATARI;Good day. We are inviting you to join our hacker startup!\nWe write cheats and guides for different games. But we would like to create something very cool now! We need a program that will play and win in Arkanoid instead of the player.\nWe know that you know a lot about machine learning, so we are inviting you to participate in our startup.;
ATARIT;Tatari;
ATARISHORTT;Tatari;
WEEKPROFIT;Income\n;Revenu hebdomadaire\n
CUROVERLOAD;Cur. Overload\n;
CURUSERS;Users\n;
USERS/DAY;Users ;Utilisateurs / Jour
NEW GAME;New game;Nouvelle partie
NEW GAME SLOT;New game slot;
TUTORIALcheck;Tutorial;Tutoriel
BASICcheck;Basics;Bases
Normalcheck;Classification;Classification
geneticcheck;Genetic algorithm;
shapecheck;Classification 2;Classification 2
perceptronscheck;Perceptrons;Perceptrons
rnncheck;RNN ;RNN
AVOVERLOAD;Av. Overload;
GO BANKRUPT;Leave;Quitter
STARTUPSCHEMEHELP;The scheme created while working for a startup does not differ from any other scheme\n\nBut it can work better or worse\n\nYour profit depends on quality of the scheme;
Your scheme has custom nodes created from nodes illegal for this task;Your scheme contains custom nodes created from elements not allowed in this task;
TRAIN / TEST;Train / Test;Entrainer / Tester
TRAIN / TESTBODY;If your scheme contains self-learning nodes you can disable learning in test run;
RELEASEBODY;"Once you press ""Release"" button, the startup will start working\n\nUntil then, feel free to experiment: test runs don't cost time or money\n\nYou can also modify your scheme at any time if you want to optimize it";
STARTUP SCHEME HELP TITLE;Startup scheme;
RELEASE;Release;Publier
DAYTUTORIALTITLE;Days;Jours
DAYTUTORIALBODY;You will be receiving profits (or damages) from your startups on a weekly basis\n\nFeel free to skip a couple of days if you don't want to wait;
FAKESTARTUPSHORTT;Tutorial;Tutoriel
MONEYSTTITLE;Money;Argent
MONEYSTBODY;These bars indicate how much money your scheme has been making on each day of the week\n\nGreen color indicates that your scheme was bringing profit\n\nRed color indicates losses (e.g. you've spent more money on servers than you've earned)\n\nThe number stands for total earnings or losses for the week;
USERSSTTITLE;Users;Utilisateurs
USERSSTBODY;As for these bars, they show the efficiency of your scheme on each day of the week\n\n<color=#ffbd18>Yellow parts</color> indicate <color=#ffbd18>successfully processed requests</color> and the <color=#f05f4a>red parts</color> indicate those your scheme <color=#f05f4a>failed to process</color>\n\nIn simple words, if the total number of requests exceeds your scheme capacity, you earn less money;
OVERLOADSTTITLE;Overload;Surcharge
OVERLOADSTBODY;This histogram shows the overload dynamics\n\nThe number indicates the current overload\n\nIf this parameter gets too high, try optimizing your scheme;
RANDOM FOREST;Random forest;
LEAVESTARTUPBODY;Or you can opt to leave the startup\n\nYou won't get or lose money, but the startup will be deleted;
LEAVESTARTUPTITLE;Leave;Quitter
PROFITSTARTUPTITLE;Weekly profit;Profit hebdomadaire
PROFITSTARTUPBODY;"This number indicates weekly profit\n\nIf you wish to, you can receive (or lose) the displayed sum by clicking ""accept""";
SERVERSCOSTBODY;Every week you must pay servers rent using cat-cloud\n\nThe rate depends on your scheme efficiency and the number of users;
SERVERSCOSTTITLE;Servers rent;
INCOMESTARTUPBODY;This line indicated a startup's weekly profit;
INCOMESTARTUPTITLE;Weekly profit;Profit hebdomadaire
CHECKSTARTUPBODY;At the end of each week, you will receive profits (or losses) from your startup(s)\n\nIt all depends on your schemes' efficiency, so try harder!;
CHECKSTARTUPTITLE;Startup's profit;Profit de la start-up
CONTROLS;Controls;Contrôles
ACONTROL;A;A
DCONTROL;D;D
SPACECONTROL;Space;Espace
ALTCONTROL;Alt;Alt
COPYPASTECONTROL;Ctrl+C, Ctrl+V;Ctrl+C, Ctrl+V
DELETECONTROL;Delete;Supprimer
RCCONTROL;RMB;RMB
ADESCRIPTIONCONTROL;Reduce / Increase speed;Augmenter / Diminuer la vitesse
DDESCRIPTIONCONTROL;Increase speed;Augmenter la vitesse
SPACEDESCRIPTIONCONTROL;Pause;Pause
ALTDESCRIPTIONCONTROL;Show / Hide modificators;Afficher / Masquer les modifications
COPYPASTEDESCRIPTIONCONTROL;Copy and paste nodes;Copier et coller les noeuds
DELETEDESCRIPTIONCONTROL;Deletes the block you point at;Supprime le bloc indiqué
RCDESCRIPTIONCONTROL;Deletes the line you point at;Suprime la ligne indiquée
MAILS;Inbox;
CONDITIONS;Conditions;Conditions
JOB;Job;Job
PRIVATE;Private;Privé
REWARDTASK;Reward;Récompense
CTRL+C;Ctrl+C;Ctrl+C
CTRL+V;Ctrl+V;Ctrl+V
OPTIONS;Options;Options
NAMEFROM;Spanishschool@cat.meow;
FIXFROM;Spanishschool@cat.meow;
FIX2FROM;Spanishschool@cat.meow;
FIX3FROM;Spanishschool@cat.meow;
ONLY TRIANGLEFROM;Strangeman@cat.meow;
FIRST PERCEPTRONFROM;Kgb@bear.roar;
FIRST PERCEPTRON2FROM;Recapchacompany@cat.meow;
ALL/G DIVIDEFROM;Christmasshop@cat.meow;
R/R PARALLELFROM;Scientificcenter@cat.meow;
R/R/R/R PARALLELFROM;Catcashminers@cat.meow;
ONLY R PARALLELFROM;Bestdictatorintheworld@cat.meow;
ONLY R/R PARALLELFROM;Yahuuscorp@cat.meow;
FILMMARKFROM;Osgarcommittee@cat.meow;
R/G/B SORTFROM;Nationalheritage@cat.meow;
CLOSEPRFROM;Clothingstore@cat.meow;
R/G DIVIDE 50%FROM;Illuminati@cat.meow;
R/G DIVIDE 75%FROM;Moneybagbank@cat.meow;
SHAPE%FROM;Presidentcrump@bear.roar;
PPEFROM;Presidentcrump@bear.roar;
MARSFROM;Ilonmars@cat.meow;
PRETRAINED GENETICFROM;Scientificcenter@cat.meow;
CHESSKASPFROM;Gasparov@bear.roar;
GENETIC DIVIDE 2FROM;Benmesricth@cat.meow;
C/T DIVIDEFROM;Denisdaily@cat.meow;
ONLY SQUARE 60%FROM;Ukkasarasti@cat.meow;
APPSTATFROM;Scientificcenter@cat.meow;
ONLY SQUAREFROM;Postoffice@cat.meow;
ORTFROM;Randomtowncouncil@cat.meow;
RC/BT DIVIDEFROM;Fbi@cat.meow;
C/S/T FAST SORTFROM;Scientificcenter@cat.meow;
C/S/T MACHINE SORTFROM;Skynetwork@cat.meow;
VURUSCLASTFROM;Survivors@cat.meow;
FAST R MACHINEFROM;Lostaircraft@cat.meow;
MACHINE SORTFROM;Notmatrix@cat.meow;
RED MACHINEFROM;Naca@cat.meow;
CRSIMSTYLEFROM;Lazywriter@cat.meow;
FAST TEXT COPYFROM;Wtldevelopers@cat.meow;
ATARIFROM;Coolhackers@cat.meow;
TRAFFICFINDERFROM;Yber@cat.meow;
EXTRABIGACCFROM;Interpol@cat.meow;
GENETICSTFROM;Evolver@cat.meow;
AMAZONFROM;Gamazon@cat.meow;
BACKSPACECONTROL;Backspace;
MUSIC VOLUME;Music volume;Volume de la musique
SOUND VOLUME;Sound volume;Volume du son
COLOR BLIND MODE;Color blind mode;
DISABLE TUTORIAL;Disable tutorial;Désactiver le tutoriel
ATTENTIONVERSION2;Are you sure you want to do so?;Es-tu sûr(e) de vouloir le faire ?
ATTENTIONREWRITE2;Are you sure you want to do so?;Es-tu sûr(e) de vouloir le faire ?
REJECT;Reject;Rejeter
STARTUP;Startup;Start-up
PRIVATE MAIL;Private mail;Mail privé
EDIT;Edit;Modifier
PATCH;Patch;
SURECANCELOFFER2;Are you sure you want to do this?;
REWRITEBTN;Rewrite;Réécrire
OPS;Whooops!;Oooups
JOIN THE STARTUP;Join startup;Rejoindre la start-up
REJECT OFFER;Reject offer;Rejeter l'offre
IN DEVELOPMENT;In development;En developpement
READ;Read;Lire
PARENTSFROM;Mamydad@cat.Meow;
FRIENDFROM;Bff@cat.Meow;
JACKPOTFROM;Goldlotto@cat.Meow;
DELETESTARTUPWARNING;Today your shares cost %NUM;
LEAVE;Leave;Quitter
ELSE;Else;Autre
PATCHBTN;Patch;Patch
CHESHIREPROMOTEXT;Only for friends;Juste pour les amis
COMMUNITY;Community;Communauté
WHO KNOWS WHAT YOU WILL GET?;Who knows what you will get;
PROMOCODE;Promo code;Code promo
CHESHIRE;Cheshire;Cheshire
CHESHIREDESCR;Only a few find the way, some don't recognize it when they do - some... don't ever want to;
WHO KNOWS WHAT YOU WILL GET?;Who knows what you will get;
ANYSORTER;Greetings!\nOur scientific conference provides several lecture halls for the visitors to meet famous scientists.\nWe would like to separate VIP badge holders from the rest, but unfortunately, VIP halls have a very limited capacity. Therefore some of the premium badge holders will have to be sent to the regular halls. We have a terminal that helps the visitors find the way to the respective room, but it has to be updated accordingly. Would you kindly do that for us?;
ANYSORTERT;Elite conference;
ANYSORTERFROM;Elite3@cat.Meow;elite3@chat.miaou
JOIN DISCORD;Join our Discord community;Rejoins la communauté Discord
SUBSCRIBE TWIITER;Follow us on Twitter;Suis nous sur Twitter
READBHSCENE;Read about the game;En savoir plus sur le jeu
STORYBHGAME;Story behind the game;L'histoire derrière le jeu
SUBSCRIBE FACE;Follow us on Facebook;Suis nous sur Facebook
NEWFRIEND;Join our friends club and get a secret cat skin;Rejoins notre club d'amis et reçois une apparence secrète de chat
CHESHIREPROMO;The cat was unlocked;Le chat a été débloqué
PROMOWAS;Promo code already activated;Code promo déjà activé
PROMOERROR;Promo code doesn't exist;Code promo inexistant
RED;Red;Rouge
GREEN;Green;Vert
BLUE;Blue;Bleu
ANY;Any;Tout
CONTINUEFULL;Continue;Continue
REWORKBTN;Rework;Retravailler
ANYSORTER BLOCK;C/s&t/green;
USECUSTOM;In this task, you need to use one of your previous schemes.\nCheck them out in the 'Custom nodes' section.;
ONLY R PARALLEL BLOCK;Only R parallel;
STARTUPWENTBUNKRUPT;The startup went bankrupt. Your shares are nothing of value now\n\nMake more profit and cash out faster next time;
STARTUPBAKRUPT;%KEYNAME startup went bankrupt;Start-up %KEYNAME a fait banqueroute
COMPANYBALANCE;Balance\n;
PLAYERSHARES;Your shares\n;
LEAVETITLE;Leave the startup;Quitter la start-up
LEAVEBODY;You can sell your shares and leave the startup at any time\n\nTo do so, press the icon with an arrow on it\n\nThe number near the icon indicate the total value of your share in the company;
DELETESTARTUPWARNING2;Are you sure you want to sell them and leave the startup?;
SELL;Sell;Vendre
OUTMONEY;Your funds are insufficient even for buying cat food!!!;
CREDIT1;But today only and now only, you can take a loan from the Last Chance bank.\nWe will give you %NUM1, and we expect you to return %NUM2 in %DAY days.\n\nIt's an opportunity you don't want to miss!;
CREDIT2;"Good day!\n\nWe're happy to inform you that your request for a loan of %NUM1 from Last Chance has been approved.
You are required to return said loan in %DAY days, and the amount is %NUM2, including interest. We kindly expect you to pay on schedule, otherwise we would be required to refer to our collectors department.";
AGREE;I agree;J'accepte
PAY DAY;Loan payment;
payout timebody;Where is the money, %USERNAME?\n\nYou owe us %NUM.\nIt's time to pay off the loan, otherwise, we will have to confiscate your carpet.;
HARD OR IMPORTANT TASK;Hard or important task;Tâche difficile ou importante
ACC TIMER;Acc timer;Acc timer
CLEARALL;Clear all;Tout effacer
INVEST;Investment;Investissement
SHARECOST;Cost;Coût
#PERSHARE;$ / share;$/partage
COMPANYBALANCE2;Budget;Budget
CTRL+SHIFT+V;Ctrl+Shift+V;Ctrl + Shift + V
PASTWITHOUTLINES;Insert without links (lines);inserer sans liens
CLEARSCHEME;This action deletes all nodes;Cette action va supprimé toutes les nodes
CLEARSCHEME2;Are you sure you want to do this?;Etes- vous sur que vous voulez faire cela ?
MIN;Min;Min
MAX;Max;Max
CUR;Cur;Act
RESET TUTORIALS;Reset tutorials;Réinitialiser les tutoriels
ATTENTIONDELETESAVES2;This action will remove the selected saves;Cette action va supprimer les sauvegardes sélectionnées
ATTENTIONDELETESAVES;Are you sure you want to do this?;Etes vous sur que vous voulez faire ça ?
VERSION;Version;Version
NICKNAME;Nickname;Pseudo
NEW GAME SLOT SAVE;NEW GAME SLOT;Nouvelle sauvegarde
EXIT2;EXIT;QUITTER
DEUS;The Moralist;Le Moralisateur
IRONCAT;Iron Cat;Le chat de fer
DEUSDESCR;Apex of the evolution;Le Maître
IRONCATDESCR;Mastermind, cutie, heartbreaker, born hunter;
AUTOSAVE;Autosave;Sauvegarde automatique
LATEST;Latest;Derniere
PERCEPTRON SHAPE;Perceptron shape;cotisation
PERCEPTRON COLOR;Perceptron color;couleur du Perceptron
NOT ENOUGH MONEY;NOT ENOUGH MONEY;PAS ASSEZ D'ARGENT
TRAIN RUN;Training;Entrainement
DUPLICATE;Duplicate;Dupliquer
MEMORYBONUS;Provides DLL slots:;Procure espaces de sauveguarde supplémentaire
RAM2SHOP;256MB RAM;256MB RAM
RAM3SHOP;1GB RAM;1GB RAM
RAM4SHOP;16GB RAM;16GB RAM
NETSHOP;JNTEL network card;JNTEL carte réseau
SERVER2SHOP;KELL SERVER 3500;KELL SERVEUR 3500
SERVER3SHOP;HD RM475 SERVER;HD RM475 SERVEUR
SERVER4SHOP;JNTEL ELREON ZX-367UP;JNTEL ELREON ZX-367UP
ROUTER2SHOP;AQUQ router;AQUQ routeur
ROUTER3SHOP;MikrosTic router;Router MikrosTic
ROUTER4SHOP;Hiaomu router;Router Hiaomu
PROCSHOP;Rentium;Rentium
PROC2SHOP;Rentium 3;Rentium 3
PROC3SHOP;JNTEL j3;JNTEL j3
PROC4SHOP;JNTEL j7;JNTEL j7
COOLERSHOP;Air cooling system;
NVIDIA2SHOP;GVIDIA 720;GVIDIA 720
NVIDIA3SHOP;GVIDIA 1080ki;GVIDIA 1080ki
NVIDIA4SHOP;GVIDIA COLOSSUS VIIII;GVIDIA COLOSSUS VIIII
HARDSHOP;30GB HDD;30GB HDD
HARD2SHOP;256GB HDD;256GB HDD
HARD3SHOP;512GB SSD;512GB SSD
HARD4SHOP;2TB SSD;2TB SSD
TIMBRELSHOP;Tambourine;Tambourin
TIMBREL2SHOP;Ancient sysadmin's tambourine;
TIMBREL3SHOP;Perfect handmade tambourine;Tambourin parfait fait à la main
DISCORD HELP;Confused? Stuck?\n\nJoin our Discord channel!\nOur huge and friendly community and developers themselves will gladly help you with any questions!;Embrouillé ? Bloqué ?\n\nRejoins notre channel Discord!\nNotre grande et accueillante communauté et les développeurs eux-mêmes répondront à toutes les questions!
CTRL+A;Ctrl+A;Ctrl+A
CTRL+ADESCR;Select all;Tout sélectionner
SERVERSLIMIT;Servers limit;Limite de serveur
TIME LIMIT;Time limit;Limite de temps
AVDESTTIME;Av. Dest. Time;
CUSTOMLIMIT;Custom nodes limit;
NODELIMIT;Nodes limit;Limite de node
throughput;Capacity;Capacité
SPENTMONEY;Money spent;Argent dépensé
ESTIMATEDCOST;Estimated cost;Coût estimé
CATHUB;CatHub (acquired by Micatsoft);
LOWACC;Low accuracy;Faible précision
WOT;Tankcat;Chatank
WOTDESCR;The cat is not sleeping, it's preparing to attack;Le chat ne dort pas, il se prépare à attaquer
EVOLVERFROM;Evolver@cat.meow;
YOUR MONEY;Your money;Ton argent
coursera;Learn this;
WIKI;Learn how it works;
YOUTUBE;Watch how it works;
DEEPCLEAR;Deep clear and restart;Tout effacer et recommencer
DELETESAVESWARNING;This action fully clears all your saves from this computer. Restart the game after the process is complete;
LEARN HOW IT WORKS;Learn how it works (Warning! Maths, integrals, derivatives and other scientific words inside);
MAXSTARTUPS;You are only able to join up to 4 startups at a time;Vous ne pouvez rejoindre que 4 start-ups a la fois
TWOFLOWER;Twoflower;Deuxfleurs
TWOFLOWERDESCR;Tourist;Touriste
TWOFLOWERPROMOTEXT;For merits in localization;
TWOFLOWERPROMO;The cat was unlocked;Le chat a été débloqué
SCHEME NAME :;Scheme name :;
FILTER;Search;Rechercher
ROSENBLATT;MARK-1 Perceptron;MARK-1 Perceptron
PARALLEL;Load balancer;
DSTREE;Decision tree color;
REMOVE;Trashcan;Poubelle
IFSHAPE;SIFT;SIFT
IFCOLOR;Expert system;
DSSHAPE;Decision tree shape;
RANDOMFOREST;Random forest;
PERCEPTRONCOLOR;Perceptron color;
PERCEPTRONSHAPE;Perceptron shape;
GRADIENT;Gradient descent;
RNNCELL;RNN layer;
GENCOPYBLOCKCOLOR;Genetic solver;
MULTIPLY;Duplicator;
SGRADIENT;Stoch. Grad. Descent;
SCHEME NAME;Scheme Name;
HIDELOCKED;Hide locked items;
NODESST2;DLL Nodes;
NODESST1;Custom Nodes;
NODESST0;Base Nodes;Noeuds basiques
RELEASETUTORIAL;Release the program to complete the task;
TESTTUTORIAL;"Click ""Test run"" to check if the scheme works properly";
DRAGLINETUTORIAL;Drag the connection line from the starting block on the left to the 'Expert system' block on the right\n\nIf you want to delete connection, place your mouse over the line and press the right button;
DRAGBLOCKTUTORIAL;Welcome to your workspace!\n\nThis is where programming magic (and bugs, mostly bugs) is born!\n\nTo begin, drag an 'Expert system' node from the list on the right;Faites glisser un bloc de la liste pour le placer sur l'écran
ELITECLUB;Hey. \n\nWe created a soap-making start-up, yet we need some help in another department. We've established a, let's call it 'unofficial', competition to determine the best loaders for our business. Now we need a programmer who will be cool enough to write an algorithm, which will allow us to understand who suits the job better, based on applicants' physique and success in said competition of ours. And the most important part of the deal is... to keep silent about it!;
ELITECLUBT;Soap-making business;
ELITECLUBSHORTT;Soap-making business;
ELITECLUBFROM;TylerDurken@cat.meow;TylerDurken@chat.miaou
INSURER;Hello!\n\n We are new in the insurance business and our main goal is to bring new technologies to this sphere. You can call our enterprise a start-up. We are striving to make a 100% correct decision in any insurance case. At the moment, we are looking for a programmer who will make our analysis and insurance cases assignment algorithms perform well and become a part of our team.;
INSURERT;Insurance Company;Compagnie d'assurance
INSURERSHORTT;Insurance Company;Compagnie d'assurance
INSURERFROM;WewillInsureyou@cat.meow;nousvousassurons@chat.miaou
FIGHT;Fighters;Combattants
DEVELOPER;Game developer;
DEVELOPERDESCR;Code, sleep, repeat;Code, dors, recommence
DEVELOPERPROMOTEXT;For merits in testing;
EXPOCAT;Expo cat;
EXPOCATDESCR;For spotting a living game developer in the flesh;
EXPOCATPROMOTEXT;For expo's friends;
THXFORTESTINGPROMO;The cat was unlocked;Le chat a été débloqué
EXPOFRIENDPROMO;The cat was unlocked;Le chat a été débloqué
